"poll_id","pollster_id","pollster","state","start_date","end_date","sample_size","dem_share"
73830,940,"Lake Research","","10/31/20",2020-11-03,2400,0.515151515151515
72652,1478,"Research Co.","","10/31/20",2020-11-02,1025,0.543478260869565
72714,568,"YouGov","","10/31/20",2020-11-02,1500,0.550561797752809
72714,568,"YouGov","","10/31/20",2020-11-02,1363,0.552083333333333
72717,241,"Ipsos","","10/31/20",2020-11-02,1333,0.525773195876289
72717,241,"Ipsos","","10/31/20",2020-11-02,1146,0.536082474226804
72717,241,"Ipsos","","10/31/20",2020-11-02,914,0.536082474226804
72809,1193,"SurveyMonkey","","10/31/20",2020-11-02,28240,0.536082474226804
72809,1193,"SurveyMonkey","","10/31/20",2020-11-02,28240,0.530612244897959
73340,1416,"HarrisX","","10/31/20",2020-11-02,2813,0.51
73340,1416,"HarrisX","","10/31/20",2020-11-02,2297,0.52
72863,770,"TIPP","","10/29/20",2020-11-02,1212,0.520746887966805
72863,770,"TIPP","","10/29/20",2020-11-02,1212,0.524844720496894
72808,1610,"USC Dornsife","","10/20/20",2020-11-02,5327,0.555696202531646
72808,1610,"USC Dornsife","","10/20/20",2020-11-02,5423,0.563258951738454
72808,1610,"USC Dornsife","","10/20/20",2020-11-02,5423,0.556618488094
72648,1582,"John Zogby Strategies/EMI Research Solutions","","11/1/20",2020-11-01,1008,0.529933481152993
72648,1582,"John Zogby Strategies/EMI Research Solutions","","11/1/20",2020-11-01,1008,0.533126293995859
72790,1522,"Swayable","","11/1/20",2020-11-01,5174,0.529111338100102
72619,568,"YouGov","","10/30/20",2020-11-01,1360,0.552083333333333
72619,568,"YouGov","","10/30/20",2020-11-01,1501,0.544444444444444
72644,1562,"Redfield & Wilton Strategies","","10/30/20",2020-11-01,8765,0.563829787234043
72662,1193,"SurveyMonkey","","10/30/20",2020-11-01,24930,0.536082474226804
72662,1193,"SurveyMonkey","","10/30/20",2020-11-01,24930,0.525252525252525
72582,1575,"Leger","","10/29/20",2020-11-01,827,0.543478260869565
72645,1614,"Qriously","","10/29/20",2020-11-01,3505,0.559139784946237
72725,1365,"Change Research","","10/29/20",2020-11-01,1880,0.553191489361702
72622,770,"TIPP","","10/28/20",2020-11-01,1080,0.516949152542373
72622,770,"TIPP","","10/28/20",2020-11-01,1080,0.521601685985248
72631,399,"Rasmussen (Pulse Opinion Research)","","10/28/20",2020-11-01,1500,0.505263157894737
72654,396,"Quinnipiac","","10/28/20",2020-11-01,1516,0.561797752808989
72601,1610,"USC Dornsife","","10/19/20",2020-11-01,5292,0.551593163114581
72601,1610,"USC Dornsife","","10/19/20",2020-11-01,5382,0.561234029292614
72601,1610,"USC Dornsife","","10/19/20",2020-11-01,5382,0.554584243937975
72636,1641,"aytm.com","","10/30/20",2020-10-31,700,0.551724137931034
72486,1292,"Hart Research Associates/Public Opinion Strategies","","10/29/20",2020-10-31,1000,0.553191489361702
72524,1193,"SurveyMonkey","","10/29/20",2020-10-31,34255,0.536082474226804
72524,1193,"SurveyMonkey","","10/29/20",2020-10-31,34255,0.530612244897959
72598,1189,"Morning Consult","","10/29/20",2020-10-31,14663,0.541666666666667
72642,1554,"RMG Research","","10/29/20",2020-10-31,1200,0.536842105263158
72646,460,"SurveyUSA","","10/29/20",2020-10-31,1265,0.541666666666667
72789,1522,"Swayable","","10/29/20",2020-10-31,3115,0.528513238289206
72490,770,"TIPP","","10/27/20",2020-10-31,1072,0.527331189710611
72490,770,"TIPP","","10/27/20",2020-10-31,1072,0.530416221985059
72485,1610,"USC Dornsife","","10/18/20",2020-10-31,5270,0.558252427184466
72485,1610,"USC Dornsife","","10/18/20",2020-10-31,5364,0.564171677379224
72485,1610,"USC Dornsife","","10/18/20",2020-10-31,5364,0.557139883430475
72423,1193,"SurveyMonkey","","10/28/20",2020-10-30,41768,0.536082474226804
72423,1193,"SurveyMonkey","","10/28/20",2020-10-30,41768,0.530612244897959
72597,1189,"Morning Consult","","10/28/20",2020-10-30,12000,0.541666666666667
72403,770,"TIPP","","10/26/20",2020-10-30,1047,0.525477707006369
72403,770,"TIPP","","10/26/20",2020-10-30,1047,0.53035143769968
72398,1610,"USC Dornsife","","10/17/20",2020-10-30,5244,0.553677092138631
72398,1610,"USC Dornsife","","10/17/20",2020-10-30,5343,0.563966770508826
72398,1610,"USC Dornsife","","10/17/20",2020-10-30,5343,0.557686294945284
72506,1515,"Data for Progress","","10/28/20",2020-10-29,1403,0.551020408163265
72322,399,"Rasmussen (Pulse Opinion Research)","","10/27/20",2020-10-29,1500,0.515789473684211
72343,1597,"Beacon Research/Shaw & Company","","10/27/20",2020-10-29,1246,0.541666666666667
72343,1597,"Beacon Research/Shaw & Company","","10/27/20",2020-10-29,1318,0.536842105263158
72344,1193,"SurveyMonkey","","10/27/20",2020-10-29,42858,0.536082474226804
72344,1193,"SurveyMonkey","","10/27/20",2020-10-29,42858,0.530612244897959
72407,801,"Gravis Marketing","","10/27/20",2020-10-29,1281,0.531914893617021
72596,1189,"Morning Consult","","10/27/20",2020-10-29,12000,0.547368421052632
72314,1559,"Opinium","","10/26/20",2020-10-29,1252,0.572916666666667
72314,1559,"Opinium","","10/26/20",2020-10-29,1451,0.563829787234043
72320,770,"TIPP","","10/25/20",2020-10-29,959,0.529350104821803
72320,770,"TIPP","","10/25/20",2020-10-29,959,0.534663865546219
